times, le, le_qc, le_unc, h, h_qc, h_unc, g, g_qc, sm1, sm1_qc, nee, nee_qc, gpp, gpp_se
2.010020400000000000e+07,1.137930000000000064e+01,7.500000000000000000e-01,1.474169999999999980e+00,-4.917099999999999582e+00,9.583329999999999904e-01,1.372479999999999922e+00,-2.833330000000000015e-01,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.632060000000000510e-01,1.000000000000000000e+00,0.000000000000000000e+00,7.101360000000000137e-03
2.010020500000000000e+07,4.935290000000000177e+00,9.583329999999999904e-01,9.904249999999999998e-01,-2.246960000000000068e-01,9.166670000000000096e-01,1.335010000000000030e+00,-6.666669999999999541e-02,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.953959999999999697e-01,9.583329999999999904e-01,0.000000000000000000e+00,2.018589999999999968e-02
2.010020600000000000e+07,5.242989999999999817e+00,8.333329999999999904e-01,1.101499999999999924e+00,8.397830000000000794e+00,8.750000000000000000e-01,1.739759999999999973e+00,-1.541669999999999985e-01,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.424810000000000354e-01,7.916670000000000096e-01,4.956859999999999565e-04,1.965099999999999833e-02
2.010020700000000000e+07,3.872520000000000184e+00,1.000000000000000000e+00,9.773380000000000400e-01,1.339210000000000012e+00,1.000000000000000000e+00,1.474830000000000085e+00,-2.416669999999999929e-01,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.326649999999999885e-01,1.000000000000000000e+00,1.928519999999999974e-03,6.796899999999999817e-03
2.010020800000000000e+07,8.053539999999999921e+00,1.000000000000000000e+00,1.209899999999999975e+00,8.842829999999999302e+00,9.583329999999999904e-01,2.184270000000000156e+00,-5.250000000000000222e-01,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,1.219000000000000083e+00,1.000000000000000000e+00,3.221100000000000178e-03,3.129910000000000071e-03
2.010020900000000000e+07,4.164360000000000284e+00,1.000000000000000000e+00,1.076850000000000085e+00,-1.923429999999999973e+00,1.000000000000000000e+00,1.868209999999999926e+00,-1.149999999999999911e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.709819999999999451e-01,1.000000000000000000e+00,3.741210000000000022e-03,3.500239999999999949e-03
2.010021000000000000e+07,4.664500000000000313e+00,9.583329999999999904e-01,1.029420000000000002e+00,4.976659999999999862e+00,9.583329999999999904e-01,1.911529999999999951e+00,-2.358330000000000037e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,8.811510000000000176e-01,1.000000000000000000e+00,3.592650000000000184e-03,3.326870000000000001e-03
2.010021100000000000e+07,7.020559999999999690e+00,1.000000000000000000e+00,1.290640000000000009e+00,2.472539999999999960e+00,1.000000000000000000e+00,1.295190000000000063e+00,-3.570829999999999949e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.130170000000000119e-01,8.750000000000000000e-01,2.691119999999999970e-03,2.491099999999999998e-03
2.010021200000000000e+07,9.340159999999999130e+00,1.000000000000000000e+00,1.079639999999999933e+00,8.317750000000000421e-01,9.583329999999999904e-01,1.315930000000000044e+00,-2.737499999999999822e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,7.608510000000000550e-01,8.750000000000000000e-01,2.347029999999999950e-03,2.170800000000000073e-03
2.010021300000000000e+07,9.000840000000000174e+00,9.583329999999999904e-01,1.036929999999999907e+00,-5.648360000000000047e-01,9.166670000000000096e-01,1.039509999999999934e+00,-1.737500000000000044e+00,1.000000000000000000e+00,-9.999000000000000000e+03,-9.999000000000000000e+03,9.128669999999999840e-01,8.333329999999999904e-01,1.750470000000000064e-03,1.617940000000000003e-03
